"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Morillo, A.; Peña, D.P.; Martinez-Santos, J.C.; Puertas, E.","Morillo, Anderson (58674420800); Peña, Daniel (57203171916); Martinez-Santos, Juan Carlos (26325154200); Puertas, Edwin (57202285682)","58674420800; 57203171916; 26325154200; 57202285682","VerbaNexAI Lab at SemEval-2024 Task 1: A Multilayer Artificial Intelligence Model for Semantic Relationship Detection","2024","","","","","1344","1350","0","1","10.18653/v1/2024.semeval-1.194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190825310&doi=10.18653%2Fv1%2F2024.semeval-1.194&partnerID=40&md5=ecd935ae70e55bc98e83da5ed357a5fe","Conference paper","Final","","Scopus","2-s2.0-85190825310"
"de la Ossa, E.D.; Vázquez-Miraz, P.","de la Ossa, Elsy Domínguez (57223851529); Vázquez-Miraz, Pedro (57196040759)","57223851529; 57196040759","Demonstrations and scenarios of perceived school violence in educational Communities in Cartagena, Colombia; Manifestações e situações de violência escolar percebida nas comunidades educativas de Cartagena, Colômbia; Manifestaciones y escenarios de la violencia escolar percibida en comunidades educativas de Cartagena, Colombia","2024","Revista Portuguesa de Educacao","37","1","e24004","","","0","1","10.21814/rpe.26531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189686044&doi=10.21814%2Frpe.26531&partnerID=40&md5=d52ce2c642bbdbbee329e30fbfa50fcc","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85189686044"
"Perilla Granados, J.S.A.","Perilla Granados, Juan Sebastian Alejandro (57023375100)","57023375100","The teaching of criminal procedural law from anti-formalist constructivism; La enseñanza del Derecho Procesal Penal desde el constructivismo antiformalista","2024","Revista Brasileira de Direito Processual Penal","10","1","","","","0","4","10.22197/rbdpp.v10i1.899","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189143797&doi=10.22197%2Frbdpp.v10i1.899&partnerID=40&md5=beb570722b549f40c8bee1c41a5439d4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85189143797"
"Perilla Granados, J.S.A.","Perilla Granados, Juan Sebastian Alejandro (57023375100)","57023375100","THE AFFECTIVE FAMILY FROM THE COLOMBIAN CONSTITUTIONAL JURISPRUDENCE; LA FAMILIA DE CRIANZA DESDE LA JURISPRUDENCIA CONSTITUCIONAL COLOMBIANA","2024","Revista de Direito","16","1","","1","22","0","5","10.32361/2024160116288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187530848&doi=10.32361%2F2024160116288&partnerID=40&md5=1234bad743196aeb418dcf968fa959dd","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85187530848"
"Delahoz-Domínguez, E.; Herrera, T.; Zuluaga-Ortiz, R.","Delahoz-Domínguez, E. (57730105400); Herrera, Tomás José Fontalvo (54993936500); Zuluaga-Ortiz, Rohemi Alfredo (57216439951)","57730105400; 54993936500; 57216439951","A Six Sigma approach for package management process in a courier company","2024","International Journal of Services and Operations Management","47","2","","198","210","0","0","10.1504/IJSOM.2024.136794","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186241505&doi=10.1504%2FIJSOM.2024.136794&partnerID=40&md5=707a0df92aa15411e2a8dc5b47c5117c","Article","Final","","Scopus","2-s2.0-85186241505"
"Gonzalez-Sierra, M.A.; Wogrin, S.","Gonzalez-Sierra, Mauro A. (58803522300); Wogrin, Sonja (37119657300)","58803522300; 37119657300","Self-Unit Commitment of Combined-Cycle Units with Real Operational Constraints","2024","Energies","17","1","51","","","0","2","10.3390/en17010051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181850185&doi=10.3390%2Fen17010051&partnerID=40&md5=7cc91c3870b5ceefe07bf3023fbf3813","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85181850185"
"Vasquez, J.; Acevedo-Barrios, R.; Miranda-Castro, W.; Guerrero, M.; Meneses-Ospina, L.","Vasquez, Juan (58774824500); Acevedo-Barrios, R. L. (56674579200); Miranda-Castro, Wendy (57193857478); Guerrero, Milton (57200615582); Meneses-Ospina, Luisa (58775024100)","58774824500; 56674579200; 57193857478; 57200615582; 58775024100","Determining Changes in Mangrove Cover Using Remote Sensing with Landsat Images: a Review","2024","Water, Air, and Soil Pollution","235","1","18","","","0","14","10.1007/s11270-023-06788-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180367211&doi=10.1007%2Fs11270-023-06788-6&partnerID=40&md5=dfd53c92151064037b1494e030d7d63b","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85180367211"
"Arrieta-Flórez, R.; Alvis-Arrieta, J.; Espinosa-Espinosa, A.","Arrieta-Flórez, Rosaura (57257353100); Alvis-Arrieta, Jorge (58068307100); Espinosa-Espinosa, Aarón (57211108028)","57257353100; 58068307100; 57211108028","Transformations of the Urban-Rural Space in Colombia and Their Impact on Water Supply; Transformação produtiva e insegurança alimentar em zonas de conflito armado. O caso de María la Baja, Colômbia; Transformación productiva e inseguridad alimentaria en zonas de conflicto armado. El caso de María la Baja, Colombia","2024","Territorios","","50","","","","0","2","10.12804/revistas.urosario.edu.co/territorios/a.11778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180303944&doi=10.12804%2Frevistas.urosario.edu.co%2Fterritorios%2Fa.11778&partnerID=40&md5=6ee7dbebe80d03de62a64fc8f0dbd10e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85180303944"
"Sanchez-Hernandez, S.; Mendoza, K.; Quintero, F.; Prada, A.M.; Tello, A.; Galvis-Ramírez, V.; Romero, L.A.; Marrugo, A.G.","Sanchez-Hernandez, Sergio A. (57220070743); Mendoza, Kevin D. (57221460700); Quintero, Fernando J. (57221475394); Prada, Angélica María (55767855400); Tello, Alejandro (6603664598); Galvis-Ramírez, Virgilio (55963715000); Romero, Lenny A. (36142156300); Marrugo, Andrés G. (24329839300)","57220070743; 57221460700; 57221475394; 55767855400; 6603664598; 55963715000; 36142156300; 24329839300","Self-supervised Deep-Learning Segmentation of Corneal Endothelium Specular Microscopy Images","2024","Communications in Computer and Information Science","1865 CCIS","","","30","42","0","0","10.1007/978-3-031-48415-5_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177844218&doi=10.1007%2F978-3-031-48415-5_3&partnerID=40&md5=8878e43e085c6c16f3dd115a7085fa04","Conference paper","Final","","Scopus","2-s2.0-85177844218"
"Jiménez Tovar, M.; Acevedo-Chedid, J.; Ospina-Mateus, H.; Salas-Navarro, K.; Sana, S.S.","Jiménez Tovar, Mary (58298209300); Acevedo-Chedid, Jaime (57193533853); Ospina-Mateus, Holman (57194034904); Salas-Navarro, Katherinne (57193504630); Sana, Shib Sankar (15078194000)","58298209300; 57193533853; 57194034904; 57193504630; 15078194000","An optimization algorithm for the multi-objective flexible fuzzy job shop environment with partial flexibility based on adaptive teaching–learning considering fuzzy processing times","2024","Soft Computing","28","2","","1459","1489","0","8","10.1007/s00500-023-08342-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160847164&doi=10.1007%2Fs00500-023-08342-2&partnerID=40&md5=2a2dc3782ae5e133b4c4913167821952","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85160847164"
